ID da Compra;Data da Compra;Nome do Material;Quantidade (kg);Preço por kg (R$);Preço Total (R$)
1321;;papelão;29.99;0.8;23.99
1322;;bateria;28.88;5.5;158.84
1323;;arquivo;20.39;0.7;14.27
1324;;bloco;25.91;7.0;181.37
1325;;vidro;11.31;1.1;12.44
1326;;ferro;5.68;1.3;7.38
1327;;bloco;32.47;7.0;227.29
1328;;vidro;1.33;1.1;1.46
1329;;latinha;11.77;7.5;88.28
1330;;PP CRISTAL;36.12;3.2;115.58
1331;;vidro;22.73;1.1;25.0
1332;;alto impacto;21.24;1.1;23.36
1333;;PET PEAD;5.33;2.5;13.32
1334;;óleo;46.18;1.7;78.51
1335;;PP CRISTAL;48.12;3.2;153.98
1336;;vidro;26.43;1.1;29.07
1337;;cobre;17.65;43.9;774.83
1338;;latinha;0.62;7.5;4.65
1339;;bateria;41.2;5.5;226.6
1340;;vidro;24.31;1.1;26.74
1341;;bloco;40.32;7.0;282.24
1342;;bateria;21.63;5.5;118.96
1343;;PET PEAD;30.24;2.5;75.6
1344;;alto impacto;49.8;1.1;54.78
1345;;bateria;43.78;5.5;240.79
1346;;vidro;13.65;1.1;15.02
1347;;PP BRANCO;34.54;1.9;65.63
1348;;PP CRISTAL;42.54;3.2;136.13
1349;2021-03-05;aluminio;46.92;6.6;309.67
1350;2021-04-05;PET PEAD;40.57;2.6;105.48
1351;2021-04-05;chumbo;28.61;9.0;257.49
1352;2021-04-05;PET PEAD;32.98;2.6;85.75
1353;2021-04-05;chumbo;31.55;9.0;283.95
1354;2021-04-05;latinha;4.63;7.1;32.87
1355;2021-04-05;vidro;1.39;1.0;1.39
1356;2021-04-05;PP PRETO;4.69;1.5;7.04
1357;2021-04-05;alto impacto;24.52;1.0;24.52
1358;2021-04-05;latinha;41.93;7.1;297.7
1359;2021-04-05;PP PRETO;37.36;1.5;56.04
1360;2021-04-05;PP CRISTAL;15.16;2.9;43.96
1361;2021-04-05;PET PEAD;23.58;2.6;61.31
1362;2021-04-05;bateria;34.99;5.9;206.44
1363;2021-04-05;vidro;10.32;1.0;10.32
1364;2021-05-05;placa eletronica;12.16;41.5;504.64
1365;2021-05-05;aluminio;26.8;6.6;176.88
1366;2021-05-05;bateria;45.4;5.9;267.86
1367;2021-05-05;bloco;0.24;7.4;1.78
1368;2021-05-05;arquivo;10.55;0.6;6.33
1369;2021-05-05;PP BRANCO;11.82;1.8;21.28
1370;2021-05-05;PET PEAD;32.98;2.6;85.75
1371;2021-05-05;chumbo;48.36;9.0;435.24
1372;2021-05-05;ferro;45.65;1.2;54.78
1373;2021-05-05;PP COLORIDO;7.26;1.5;10.89
1374;2021-05-05;latinha;22.29;7.1;158.26
1375;2021-05-05;bloco;12.88;7.4;95.31
1376;2021-05-05;chumbo;25.62;9.0;230.58
1377;2021-05-05;alto impacto;6.03;1.0;6.03
1378;2021-05-05;arquivo;45.23;0.6;27.14
1379;2021-05-05;PET PEAD;34.45;2.6;89.57
1380;2021-05-05;alto impacto;27.39;1.0;27.39
1381;2021-05-05;PP CRISTAL;42.75;2.9;123.98
1382;2021-05-05;PP CRISTAL;46.23;2.9;134.07
1383;2021-05-05;alto impacto;42.21;1.0;42.21
1384;2021-05-05;aluminio;30.18;6.6;199.19
1385;2021-05-05;bloco;2.19;7.4;16.21
1386;2021-05-05;papelão;42.43;0.7;29.7
1387;2021-05-05;ferro;29.37;1.2;35.24
1388;2021-05-05;placa eletronica;37.73;41.5;1565.79
1389;2021-05-05;PP BRANCO;33.07;1.8;59.53
1390;2021-05-05;ferro;3.2;1.2;3.84
1391;2021-05-05;PP COLORIDO;19.6;1.5;29.4
1392;2021-06-05;papelão;19.12;0.7;13.38
1393;2021-06-05;óleo;16.0;1.6;25.6
1394;2021-06-05;PP PRETO;27.24;1.5;40.86
1395;2021-06-05;bateria;20.8;5.9;122.72
1396;2021-06-05;aluminio;11.12;6.6;73.39
1397;2021-06-05;ferro;49.94;1.2;59.93
1398;2021-06-05;óleo;16.8;1.6;26.88
1399;2021-06-05;PP PRETO;8.28;1.5;12.42
1400;2021-06-05;arquivo;15.84;0.6;9.5
1401;2021-06-05;PP COLORIDO;37.05;1.5;55.58
1402;2021-06-05;papelão;33.05;0.7;23.14
1403;2021-06-05;PP COLORIDO;10.51;1.5;15.76
1404;2021-06-05;bateria;1.69;5.9;9.97
1405;2021-06-05;PET PEAD;19.65;2.6;51.09
1406;2021-06-05;placa eletronica;49.85;41.5;2068.78
1407;2021-06-05;óleo;19.08;1.6;30.53
1408;2021-06-05;placa eletronica;27.84;41.5;1155.36
1409;2021-06-05;bateria;43.05;5.9;254.0
1410;2021-06-05;PP COLORIDO;23.64;1.5;35.46
1411;2021-06-05;alto impacto;39.32;1.0;39.32
1412;2021-06-05;arquivo;10.04;0.6;6.02
1413;2021-06-05;alto impacto;9.44;1.0;9.44
1414;2021-06-05;PP BRANCO;20.55;1.8;36.99
1415;2021-06-05;aluminio;44.99;6.6;296.93
1416;2021-06-05;placa eletronica;42.05;41.5;1745.07
1417;2021-06-05;óleo;14.05;1.6;22.48
1418;2021-07-05;cobre;36.67;40.9;1499.8
1419;2021-07-05;vidro;1.05;1.0;1.05
1420;2021-07-05;alto impacto;46.26;1.0;46.26
1421;2021-07-05;alto impacto;32.32;1.0;32.32
1422;2021-07-05;papelão;2.42;0.7;1.69
1423;2021-07-05;PET PEAD;44.46;2.6;115.6
1424;2021-07-05;aluminio;10.01;6.6;66.07
1425;2021-07-05;chumbo;35.77;9.0;321.93
1426;2021-07-05;cobre;15.56;40.9;636.4
1427;2021-07-05;vidro;37.97;1.0;37.97
1428;2021-10-05;alto impacto;32.22;1.0;32.22
1429;2021-11-05;latinha;0.87;7.1;6.18
1430;2021-11-05;aluminio;36.34;6.6;239.84
1431;2021-11-05;arquivo;13.94;0.6;8.36
1432;2021-11-05;PP COLORIDO;43.61;1.5;65.41
1433;2021-11-05;vidro;4.8;1.0;4.8
1434;2021-11-05;arquivo;8.8;0.6;5.28
1435;2021-11-05;ferro;28.37;1.2;34.04
1436;2021-11-05;papelão;18.3;0.7;12.81
1437;2021-11-05;arquivo;30.24;0.6;18.14
1438;2021-11-05;papelão;13.67;0.7;9.57
1439;2021-11-05;aço;1.88;5.5;10.34
1440;2021-11-05;arquivo;27.49;0.6;16.49
1441;2021-11-05;PP CRISTAL;28.95;2.9;83.96
1442;2021-11-05;óleo;40.12;1.6;64.19
1443;2021-11-05;bloco;23.0;7.4;170.2
1444;2021-12-05;óleo;22.49;1.6;35.98
1445;2021-12-05;bloco;12.51;7.4;92.57
1446;2021-12-05;PET PEAD;5.88;2.6;15.29
1447;2021-12-05;vidro;4.29;1.0;4.29
1448;2021-12-05;bateria;12.2;5.9;71.98
1449;2021-12-05;latinha;24.51;7.1;174.02
1450;2021-12-05;PET PEAD;23.02;2.6;59.85
1451;2021-12-05;bloco;48.13;7.4;356.16
1452;2021-12-05;PP COLORIDO;37.34;1.5;56.01
1453;2021-12-05;PP PRETO;37.9;1.5;56.85
1454;2021-12-05;PET PEAD;23.01;2.6;59.83
1455;2021-12-05;cobre;37.3;40.9;1525.57
1456;2021-12-05;aluminio;30.45;6.6;200.97
1457;2021-12-05;latinha;7.39;7.1;52.47
1458;2021-12-05;óleo;8.73;1.6;13.97
1459;2021-12-05;aluminio;1.42;6.6;9.37
1460;2021-12-05;arquivo;25.45;0.6;15.27
1461;2021-12-05;aço;12.38;5.5;68.09
1462;2021-12-05;PP PRETO;42.65;1.5;63.97
1463;2021-12-05;papelão;6.24;0.7;4.37
1464;2021-12-05;bloco;29.34;7.4;217.12
1465;2021-12-05;aluminio;42.11;6.6;277.93
1466;2021-12-05;chumbo;46.6;9.0;419.4
1467;2021-12-05;vidro;25.04;1.0;25.04
1468;;chumbo;18.53;9.0;166.77
1469;;vidro;44.01;1.0;44.01
1470;;PP COLORIDO;26.19;1.5;39.29
1471;;óleo;39.88;1.6;63.81
1472;;arquivo;22.52;0.6;13.51
1473;;aluminio;23.44;6.6;154.7
1474;;PP BRANCO;49.64;1.8;89.35
1475;;cobre;6.32;40.9;258.49
1476;;alto impacto;5.81;1.0;5.81
1477;;aço;12.44;5.5;68.42
1478;;PP PRETO;6.28;1.5;9.42
1479;;arquivo;38.75;0.6;23.25
1480;;placa eletronica;8.36;41.5;346.94
1481;;ferro;14.53;1.2;17.44
1482;;PP PRETO;47.73;1.5;71.6
1483;;papelão;43.85;0.7;30.7
1484;;PET PEAD;32.97;2.6;85.72
1485;;placa eletronica;31.38;41.5;1302.27
1486;;bloco;21.38;7.4;158.21
1487;;latinha;14.7;7.1;104.37
1488;;PP CRISTAL;22.71;2.9;65.86
1489;;PP COLORIDO;26.35;1.5;39.53
1490;;ferro;3.84;1.2;4.61
1491;;PP COLORIDO;35.41;1.5;53.11
1492;;vidro;4.22;1.0;4.22
1493;;ferro;46.35;1.2;55.62
1494;;óleo;23.36;1.6;37.38
1495;;papelão;0.45;0.7;0.32
1496;;bloco;23.67;7.4;175.16
1497;;bloco;5.2;7.4;38.48
1498;;aço;27.8;5.5;152.9
1499;;cobre;15.51;40.9;634.36
1500;;PP COLORIDO;36.2;1.5;54.3
1501;;ferro;47.52;1.2;57.02
1502;;vidro;33.15;1.0;33.15
1503;;vidro;43.5;1.0;43.5
1504;;placa eletronica;29.49;41.5;1223.84
1505;;aço;45.24;5.5;248.82
1506;;chumbo;11.83;9.0;106.47
1507;;PP PRETO;33.44;1.5;50.16
1508;;ferro;17.14;1.2;20.57
1509;;PP PRETO;3.38;1.5;5.07
1510;;alto impacto;7.57;1.0;7.57
1511;;PET PEAD;48.5;2.6;126.1
1512;;PP COLORIDO;31.69;1.5;47.54
1513;;PP CRISTAL;36.45;2.9;105.7
1514;;aço;18.75;5.5;103.12
1515;;bloco;42.18;7.4;312.13
1516;;aluminio;33.34;6.6;220.04
1517;;arquivo;22.8;0.6;13.68
1518;;bateria;47.64;5.9;281.08
1519;;papelão;19.15;0.7;13.4
1520;;ferro;14.91;1.2;17.89
1521;;vidro;48.09;1.0;48.09
1522;;vidro;43.87;1.0;43.87
1523;;PP COLORIDO;46.23;1.5;69.34
1524;;arquivo;10.23;0.6;6.14
1525;;alto impacto;6.62;1.0;6.62
1526;;chumbo;35.27;9.0;317.43
1527;;alto impacto;16.29;1.0;16.29
1528;;bloco;3.63;7.4;26.86
1529;;PET PEAD;33.21;2.6;86.35
1530;;bateria;3.7;5.9;21.83
1531;;PP PRETO;16.23;1.5;24.34
1532;;PP COLORIDO;32.12;1.5;48.18
1533;;PP COLORIDO;8.19;1.5;12.28
1534;;aço;36.71;5.5;201.9
1535;;vidro;18.41;1.0;18.41
1536;;PET PEAD;2.61;2.6;6.79
1537;;arquivo;20.86;0.6;12.52
1538;;PET PEAD;14.47;2.6;37.62
1539;;papelão;19.18;0.7;13.43
1540;;PP COLORIDO;18.96;1.5;28.44
1541;;placa eletronica;14.48;41.5;600.92
1542;;latinha;37.19;7.1;264.05
1543;;cobre;48.25;40.9;1973.42
1544;;bateria;10.9;5.9;64.31
1545;;aluminio;16.4;6.6;108.24
1546;;papelão;48.58;0.7;34.01
1547;;óleo;42.18;1.6;67.49
1548;;placa eletronica;28.36;41.5;1176.94
1549;;PP COLORIDO;3.64;1.5;5.46
1550;;PP COLORIDO;9.27;1.5;13.9
1551;;óleo;8.59;1.6;13.74
1552;;PP BRANCO;46.12;1.8;83.02
1553;;ferro;27.92;1.2;33.5
1554;;chumbo;12.0;9.0;108.0
1555;;placa eletronica;42.7;41.5;1772.05
1556;;arquivo;4.97;0.6;2.98
1557;;PP BRANCO;26.05;1.8;46.89
1558;;alto impacto;7.39;1.0;7.39
1559;;cobre;8.89;40.9;363.6
1560;;alto impacto;15.38;1.0;15.38
1561;;alto impacto;34.75;1.0;34.75
1562;;latinha;6.68;7.1;47.43
1563;;óleo;12.1;1.6;19.36
1564;;óleo;3.61;1.6;5.78
1565;;alto impacto;2.14;1.0;2.14
1566;;aço;46.86;5.5;257.73
1567;;PET PEAD;36.86;2.6;95.84
1568;;PP PRETO;14.94;1.5;22.41
1569;;latinha;27.97;7.1;198.59
1570;;bateria;42.37;5.9;249.98
1571;;chumbo;11.02;9.0;99.18
1572;;bloco;11.79;7.4;87.25
1573;;PP CRISTAL;30.08;2.9;87.23
1574;;ferro;26.46;1.2;31.75
1575;;bloco;14.93;7.4;110.48
1576;;PP CRISTAL;46.72;2.9;135.49
1577;;ferro;7.63;1.2;9.16
1578;;bloco;34.13;7.4;252.56
1579;;placa eletronica;31.92;41.5;1324.68
1580;;chumbo;18.35;9.0;165.15
1581;;PP BRANCO;33.98;1.8;61.16
1582;;vidro;19.76;1.0;19.76
1583;;bateria;4.11;5.9;24.25
1584;;papelão;34.48;0.7;24.14
1585;;chumbo;33.72;9.0;303.48
1586;;aluminio;20.45;6.6;134.97
1587;;bloco;38.1;7.4;281.94
1588;;PP PRETO;17.61;1.5;26.42
1589;;aluminio;45.33;6.6;299.18
1590;;latinha;17.96;7.1;127.52
1591;;aluminio;13.14;6.6;86.72
1592;;placa eletronica;4.98;41.5;206.67
1593;;alto impacto;1.19;1.0;1.19
1594;;PP CRISTAL;16.8;2.9;48.72
1595;;PET PEAD;0.82;2.6;2.13
1596;;PP BRANCO;43.22;1.8;77.8
1597;;aço;24.91;5.5;137.0
1598;;PP PRETO;43.24;1.5;64.86
1599;;latinha;32.96;7.1;234.02
1600;;ferro;43.44;1.2;52.13
1601;;placa eletronica;10.94;41.5;454.01
1602;;latinha;23.04;7.1;163.58
1603;;PET PEAD;6.78;2.6;17.63
1604;;papelão;35.86;0.7;25.1
1605;;chumbo;15.42;9.0;138.78
1606;;PET PEAD;26.06;2.6;67.76
1607;;ferro;24.78;1.2;29.74
1608;;PP COLORIDO;6.63;1.5;9.94
1609;;chumbo;39.06;9.0;351.54
1610;;PP CRISTAL;40.08;2.9;116.23
1611;;bateria;40.37;5.9;238.18
1612;;PP CRISTAL;34.41;2.9;99.79
1613;;bloco;39.96;7.4;295.7
1614;;aluminio;31.18;6.6;205.79
1615;;aluminio;37.09;6.6;244.79
1616;;PP PRETO;22.71;1.5;34.06
1617;;bloco;5.51;7.4;40.77
1618;;aço;2.3;5.5;12.65
1619;;bateria;48.44;5.9;285.8
1620;;cobre;18.23;40.9;745.61
1621;;cobre;19.45;40.9;795.5
1622;;PP BRANCO;42.41;1.8;76.34
1623;;papelão;12.66;0.7;8.86
1624;;alto impacto;10.45;1.0;10.45
1625;;aluminio;22.33;6.6;147.38
1626;;ferro;5.62;1.2;6.74
1627;;PP CRISTAL;18.51;2.9;53.68
1628;;PET PEAD;47.82;2.6;124.33
1629;;vidro;35.63;1.0;35.63
1630;;bloco;1.67;7.4;12.36
1631;;cobre;32.53;40.9;1330.48
1632;;ferro;23.52;1.2;28.22
1633;;papelão;32.99;0.7;23.09
1634;;bloco;41.13;7.4;304.36
1635;;cobre;43.07;40.9;1761.56
1636;;papelão;10.65;0.7;7.46
1637;;papelão;31.47;0.7;22.03
1638;;PP COLORIDO;26.25;1.5;39.38
1639;;PP CRISTAL;49.61;2.9;143.87
1640;;PET PEAD;5.95;2.6;15.47
1641;;PP COLORIDO;25.42;1.5;38.13
1642;;ferro;49.93;1.2;59.92
1643;;PP PRETO;42.06;1.5;63.09
1644;;PP PRETO;4.98;1.5;7.47
1645;;PET PEAD;11.44;2.6;29.74
1646;2021-01-06;cobre;33.54;43.1;1445.57
1647;2021-01-06;arquivo;10.79;0.7;7.55
1648;2021-01-06;chumbo;27.81;8.5;236.38
1649;2021-01-06;alto impacto;17.99;1.1;19.79
1650;2021-01-06;arquivo;47.32;0.7;33.12
1651;2021-01-06;aluminio;21.54;6.2;133.55
1652;2021-01-06;PP CRISTAL;28.42;3.2;90.94
1653;2021-01-06;bateria;14.33;6.3;90.28
1654;2021-01-06;bloco;17.64;7.8;137.59
1655;2021-01-06;óleo;14.33;1.7;24.36
1656;2021-01-06;PP BRANCO;0.27;1.9;0.51
1657;2021-01-06;bateria;7.82;6.3;49.27
1658;2021-01-06;PP COLORIDO;39.96;1.6;63.94
1659;2021-02-06;bloco;20.69;7.8;161.38
1660;2021-02-06;chumbo;29.86;8.5;253.81
1661;2021-02-06;bateria;43.78;6.3;275.81
1662;2021-02-06;placa eletronica;26.34;38.9;1024.63
1663;2021-02-06;aluminio;47.04;6.2;291.65
1664;2021-02-06;papelão;47.45;0.8;37.96
1665;2021-02-06;PET PEAD;27.32;2.7;73.76
1666;2021-02-06;aço;48.67;5.8;282.29
1667;2021-02-06;vidro;34.6;1.0;34.6
1668;2021-02-06;ferro;33.39;1.1;36.73
1669;2021-02-06;ferro;38.68;1.1;42.55
1670;2021-02-06;aço;17.49;5.8;101.44
1671;2021-02-06;vidro;21.02;1.0;21.02
1672;2021-02-06;placa eletronica;40.84;38.9;1588.68
1673;2021-02-06;PET PEAD;42.61;2.7;115.05
1674;2021-02-06;chumbo;45.64;8.5;387.94
1675;2021-02-06;aço;49.43;5.8;286.69
1676;2021-02-06;arquivo;31.04;0.7;21.73
1677;2021-02-06;placa eletronica;26.99;38.9;1049.91
1678;2021-02-06;latinha;18.59;6.7;124.55
1679;2021-02-06;óleo;31.64;1.7;53.79
1680;2021-02-06;ferro;10.92;1.1;12.01
1681;2021-02-06;PP PRETO;13.49;1.6;21.58
1682;2021-03-06;óleo;13.21;1.7;22.46
1683;2021-03-06;PP CRISTAL;3.85;3.2;12.32
1684;2021-03-06;óleo;31.06;1.7;52.8
1685;2021-03-06;PET PEAD;35.58;2.7;96.07
1686;2021-03-06;chumbo;47.0;8.5;399.5
1687;2021-03-06;chumbo;31.42;8.5;267.07
1688;2021-03-06;papelão;6.48;0.8;5.18
1689;2021-03-06;bateria;10.87;6.3;68.48
1690;2021-03-06;placa eletronica;24.34;38.9;946.83
1691;2021-03-06;PP BRANCO;48.6;1.9;92.34
1692;2021-03-06;óleo;33.72;1.7;57.32
1693;2021-03-06;PP CRISTAL;6.76;3.2;21.63
1694;2021-03-06;óleo;4.55;1.7;7.74
1695;2021-03-06;arquivo;20.39;0.7;14.27
1696;2021-03-06;PP BRANCO;48.08;1.9;91.35
1697;2021-03-06;alto impacto;14.13;1.1;15.54
1698;2021-03-06;bloco;26.97;7.8;210.37
1699;2021-03-06;PP PRETO;43.64;1.6;69.82
1700;2021-03-06;alto impacto;35.72;1.1;39.29
1701;2021-03-06;PP PRETO;15.18;1.6;24.29
1702;2021-03-06;arquivo;27.25;0.7;19.08
1703;2021-03-06;PP PRETO;1.19;1.6;1.9
1704;2021-04-06;PP COLORIDO;2.98;1.6;4.77
1705;2021-04-06;bloco;2.1;7.8;16.38
1706;2021-04-06;chumbo;9.04;8.5;76.84
1707;2021-04-06;arquivo;27.04;0.7;18.93
1708;2021-04-06;PP PRETO;11.01;1.6;17.62
1709;2021-04-06;cobre;9.38;43.1;404.28
1710;2021-07-06;PP PRETO;9.71;1.6;15.54
1711;2021-07-06;aluminio;1.15;6.2;7.13
1712;2021-07-06;aluminio;23.74;6.2;147.19
1713;2021-07-06;placa eletronica;22.98;38.9;893.92
1714;2021-07-06;ferro;4.43;1.1;4.87
1715;2021-07-06;PP CRISTAL;27.2;3.2;87.04
1716;2021-07-06;ferro;25.78;1.1;28.36
1717;2021-07-06;PET PEAD;37.47;2.7;101.17
1718;2021-07-06;PP PRETO;7.67;1.6;12.27
1719;2021-07-06;aluminio;19.29;6.2;119.6
1720;2021-07-06;latinha;12.6;6.7;84.42
1721;2021-07-06;bloco;23.38;7.8;182.36
1722;2021-07-06;PP COLORIDO;35.63;1.6;57.01
1723;2021-07-06;PET PEAD;17.89;2.7;48.3
1724;2021-07-06;alto impacto;48.98;1.1;53.88
1725;2021-07-06;PET PEAD;46.37;2.7;125.2
1726;2021-07-06;PP CRISTAL;0.17;3.2;0.54
1727;2021-07-06;cobre;18.87;43.1;813.3
1728;2021-07-06;PP CRISTAL;41.74;3.2;133.57
1729;2021-07-06;aço;1.97;5.8;11.43
1730;2021-07-06;bateria;18.39;6.3;115.86
1731;2021-08-06;PP COLORIDO;42.14;1.6;67.42
1732;2021-08-06;bloco;16.41;7.8;128.0
1733;2021-08-06;chumbo;42.63;8.5;362.36
1734;2021-09-06;aço;0.27;5.8;1.57
1735;2021-09-06;aluminio;48.51;6.2;300.76
1736;2021-09-06;PP BRANCO;32.78;1.9;62.28
1737;2021-09-06;PET PEAD;18.21;2.7;49.17
1738;2021-09-06;óleo;16.59;1.7;28.2
1739;2021-09-06;PET PEAD;12.08;2.7;32.62
1740;2021-09-06;PET PEAD;3.33;2.7;8.99
1741;2021-09-06;PP BRANCO;20.69;1.9;39.31
1742;2021-09-06;aço;44.65;5.8;258.97
1743;2021-09-06;ferro;25.37;1.1;27.91
1744;2021-10-06;placa eletronica;4.06;38.9;157.93
1745;2021-10-06;latinha;16.42;6.7;110.01
1746;2021-10-06;óleo;6.93;1.7;11.78
1747;2021-10-06;bateria;26.92;6.3;169.6
1748;2021-10-06;bateria;12.57;6.3;79.19
1749;2021-10-06;aço;34.39;5.8;199.46
1750;2021-10-06;chumbo;31.42;8.5;267.07
1751;2021-10-06;latinha;45.17;6.7;302.64
1752;2021-11-06;arquivo;23.15;0.7;16.2
1753;2021-11-06;aluminio;14.26;6.2;88.41
1754;2021-11-06;óleo;4.72;1.7;8.02
1755;2021-11-06;cobre;23.39;43.1;1008.11
1756;2021-11-06;latinha;10.83;6.7;72.56
1757;2021-11-06;arquivo;39.82;0.7;27.87
1758;2021-11-06;PP BRANCO;2.2;1.9;4.18
1759;2021-11-06;ferro;17.32;1.1;19.05
1760;;chumbo;27.61;8.5;234.68
1761;;PP CRISTAL;8.96;3.2;28.67
1762;;chumbo;48.9;8.5;415.65
1763;;PP CRISTAL;27.41;3.2;87.71
1764;;vidro;29.9;1.0;29.9
1765;;placa eletronica;19.43;38.9;755.83
1766;;chumbo;8.82;8.5;74.97
1767;;papelão;8.7;0.8;6.96
1768;;cobre;8.86;43.1;381.87
1769;;latinha;49.62;6.7;332.45
1770;;placa eletronica;42.09;38.9;1637.3
1771;;óleo;18.13;1.7;30.82
1772;;aço;30.85;5.8;178.93
1773;;alto impacto;1.74;1.1;1.91
1774;;PP BRANCO;48.89;1.9;92.89
1775;;ferro;35.06;1.1;38.57
1776;;latinha;6.19;6.7;41.47
1777;;placa eletronica;43.9;38.9;1707.71
1778;;chumbo;40.45;8.5;343.83
1779;;latinha;4.67;6.7;31.29
1780;;PP BRANCO;33.44;1.9;63.54
1781;;vidro;38.07;1.0;38.07
1782;;cobre;48.87;43.1;2106.3
1783;;óleo;32.52;1.7;55.28
1784;;cobre;6.62;43.1;285.32
1785;;aço;24.78;5.8;143.72
1786;;placa eletronica;38.23;38.9;1487.15
1787;;placa eletronica;24.03;38.9;934.77
1788;;PET PEAD;28.54;2.7;77.06
1789;;papelão;18.98;0.8;15.18
1790;;vidro;37.22;1.0;37.22
1791;;cobre;35.41;43.1;1526.17
1792;;bloco;18.52;7.8;144.46
1793;;PP PRETO;41.84;1.6;66.94
1794;;ferro;46.66;1.1;51.33
1795;;PP PRETO;21.88;1.6;35.01
1796;;bloco;7.25;7.8;56.55
1797;;papelão;25.82;0.8;20.66
1798;;alto impacto;41.19;1.1;45.31
1799;;óleo;8.4;1.7;14.28
1800;;aluminio;28.49;6.2;176.64
1801;;alto impacto;21.68;1.1;23.85
1802;;PET PEAD;13.31;2.7;35.94
1803;;bateria;41.32;6.3;260.32
1804;;alto impacto;34.8;1.1;38.28
1805;;PP CRISTAL;44.73;3.2;143.14
1806;;aço;28.55;5.8;165.59
1807;;PP BRANCO;40.09;1.9;76.17
1808;;ferro;16.45;1.1;18.1
1809;;PP BRANCO;5.59;1.9;10.62
1810;;papelão;44.29;0.8;35.43
1811;;PP CRISTAL;9.98;3.2;31.94
1812;;arquivo;4.35;0.7;3.04
1813;;PP COLORIDO;41.57;1.6;66.51
1814;;papelão;6.04;0.8;4.83
1815;;bloco;2.91;7.8;22.7
1816;;aluminio;43.91;6.2;272.24
1817;;alto impacto;35.44;1.1;38.98
1818;;bateria;22.29;6.3;140.43
1819;;arquivo;45.04;0.7;31.53
1820;;alto impacto;21.9;1.1;24.09
1821;;PP CRISTAL;24.45;3.2;78.24
1822;;óleo;2.91;1.7;4.95
1823;;aluminio;48.85;6.2;302.87
1824;;PP PRETO;11.72;1.6;18.75
1825;;vidro;47.18;1.0;47.18
1826;;óleo;27.47;1.7;46.7
1827;;PET PEAD;13.17;2.7;35.56
1828;;latinha;25.1;6.7;168.17
1829;;PET PEAD;18.62;2.7;50.27
1830;;óleo;13.25;1.7;22.52
1831;;óleo;20.62;1.7;35.05
1832;;ferro;43.47;1.1;47.82
1833;;papelão;14.49;0.8;11.59
1834;;vidro;29.36;1.0;29.36
1835;;aluminio;15.88;6.2;98.46
1836;;arquivo;20.47;0.7;14.33
1837;;cobre;3.57;43.1;153.87
1838;;PET PEAD;36.53;2.7;98.63
1839;;ferro;32.29;1.1;35.52
1840;;PP PRETO;26.65;1.6;42.64
1841;;aluminio;28.99;6.2;179.74
1842;;arquivo;13.33;0.7;9.33
1843;;PP BRANCO;28.49;1.9;54.13
1844;;PP COLORIDO;43.38;1.6;69.41
1845;;bloco;7.79;7.8;60.76
1846;;PET PEAD;35.47;2.7;95.77
1847;;vidro;9.78;1.0;9.78
1848;;bateria;48.36;6.3;304.67
1849;;óleo;16.0;1.7;27.2
1850;;arquivo;8.74;0.7;6.12
1851;;PP BRANCO;20.55;1.9;39.04
1852;;bloco;47.98;7.8;374.24
1853;;cobre;49.09;43.1;2115.78
1854;;papelão;22.57;0.8;18.06
1855;;aço;5.54;5.8;32.13
1856;;bateria;34.94;6.3;220.12
1857;;bloco;48.06;7.8;374.87
1858;;bloco;40.98;7.8;319.64
1859;;ferro;32.65;1.1;35.92
1860;;placa eletronica;40.08;38.9;1559.11
1861;;aço;39.16;5.8;227.13
1862;;óleo;2.54;1.7;4.32
1863;;cobre;15.2;43.1;655.12
1864;;cobre;17.41;43.1;750.37
1865;;PP PRETO;16.51;1.6;26.42
1866;;óleo;37.84;1.7;64.33
1867;;aço;40.95;5.8;237.51
1868;;PP PRETO;15.54;1.6;24.86
1869;;aço;24.12;5.8;139.9
1870;;PP CRISTAL;28.62;3.2;91.58
1871;;latinha;40.45;6.7;271.02
1872;;PP CRISTAL;2.21;3.2;7.07
1873;;vidro;7.3;1.0;7.3
1874;;óleo;39.95;1.7;67.92
1875;;ferro;48.97;1.1;53.87
1876;;chumbo;28.3;8.5;240.55
1877;;PET PEAD;9.52;2.7;25.7
1878;;aluminio;0.63;6.2;3.91
1879;;ferro;20.53;1.1;22.58
1880;;latinha;34.17;6.7;228.94
1881;;aço;24.72;5.8;143.38
1882;;cobre;40.58;43.1;1749.0
1883;;PP PRETO;13.0;1.6;20.8
1884;;chumbo;24.26;8.5;206.21
1885;;placa eletronica;28.45;38.9;1106.7
1886;;PP COLORIDO;4.53;1.6;7.25
1887;;óleo;37.67;1.7;64.04
1888;;bateria;42.7;6.3;269.01
1889;;arquivo;42.79;0.7;29.95
1890;;óleo;3.29;1.7;5.59
1891;;bloco;42.59;7.8;332.2
1892;;PET PEAD;31.58;2.7;85.27
1893;;latinha;16.84;6.7;112.83
1894;;PP BRANCO;21.93;1.9;41.67
1895;;alto impacto;30.5;1.1;33.55
1896;;cobre;13.17;43.1;567.63
1897;;vidro;5.18;1.0;5.18
1898;;bloco;38.49;7.8;300.22
1899;;placa eletronica;12.48;38.9;485.47
1900;;PP COLORIDO;15.52;1.6;24.83
1901;;cobre;40.58;43.1;1749.0
1902;;papelão;49.26;0.8;39.41
1903;;placa eletronica;7.94;38.9;308.87
1904;;aço;43.88;5.8;254.5
1905;;latinha;1.65;6.7;11.06
