Data da Compra;Quantidade (kg);Nome do Material;Preço Total (R$);Margem de Lucro (%);Valor de Revenda (R$)
2021-04-17;46.42;placa eletronica;2419.41;0.39;3352.39
2021-04-17;11.73;aço;87.62;0.35;118.5
2021-04-17;29.97;latinha;349.15;0.36;474.64
2021-04-17;5.22;cobre;322.86;0.33;427.83
2021-04-17;2.39;cobre;145.57;0.33;194.23
2021-04-17;21.98;PP BRANCO;68.58;0.43;97.78
2021-04-17;33.88;papelão;37.61;0.39;52.42
2021-04-17;23.66;bloco;251.51;0.39;348.84
2021-04-17;46.08;placa eletronica;2526.11;0.36;3424.36
2021-04-17;35.77;aluminio;341.96;0.34;458.41
2021-04-17;26.76;latinha;293.56;0.37;401.35
2021-04-17;29.96;ferro;47.04;0.32;62.12
2021-04-17;23.08;PP BRANCO;68.32;0.42;96.76
2021-04-17;45.03;chumbo;471.01;0.41;664.23
2021-04-17;26.0;alto impacto;35.1;0.32;46.31
2021-04-17;39.17;aço;295.34;0.32;388.59
2021-04-17;40.25;cobre;2374.35;0.36;3230.76
2021-04-17;13.01;PP BRANCO;38.38;0.42;54.47
2021-04-17;13.23;bateria;87.19;0.38;119.95
2021-04-17;18.99;cobre;1140.73;0.31;1499.14
2021-04-18;40.69;papelão;44.35;0.35;59.93
2021-04-18;12.43;papelão;13.05;0.43;18.71
2021-04-18;41.2;alto impacto;54.38;0.36;73.77
2021-04-18;6.9;bateria;45.06;0.39;62.54
2021-04-18;20.24;PET PEAD;65.98;0.41;93.3
2021-04-18;12.53;alto impacto;16.92;0.39;23.44
2021-04-18;4.05;PP PRETO;6.88;0.31;9.0
2021-04-18;4.74;latinha;55.7;0.38;77.12
2021-04-18;0.95;óleo;2.57;0.37;3.53
2021-04-18;43.72;chumbo;434.58;0.43;622.13
2021-04-18;32.57;bloco;352.08;0.45;510.23
2021-04-18;8.2;PP CRISTAL;31.65;0.34;42.33
2021-04-18;16.36;papelão;17.34;0.39;24.05
2021-04-18;15.74;arquivo;16.53;0.43;23.63
2021-04-19;46.66;aço;334.09;0.4;469.03
2021-04-19;19.86;arquivo;21.65;0.44;31.27
2021-04-19;35.78;cobre;2147.52;0.4;2998.75
2021-04-19;46.76;papelão;50.97;0.41;71.67
2021-04-19;13.16;aço;93.3;0.39;129.75
2021-04-19;31.41;bloco;338.29;0.36;459.71
2021-04-19;28.2;arquivo;29.89;0.39;41.53
2021-04-19;48.95;bateria;319.15;0.31;418.5
2021-04-19;40.19;ferro;67.12;0.33;89.03
2021-04-19;8.99;PP COLORIDO;17.53;0.33;23.29
2021-04-19;35.82;alto impacto;47.64;0.43;68.1
2021-04-19;49.69;PVC vidro;5207.51;0.31;6813.28
2021-04-19;16.76;cobre;1023.37;0.36;1396.82
2021-04-19;26.99;arquivo;28.07;0.34;37.48
2021-04-19;34.34;PP PRETO;59.75;0.4;83.72
2021-04-19;3.26;PVC vidro;340.93;0.35;461.84
2021-04-19;39.32;aço;292.15;0.41;411.37
2021-04-19;14.73;bateria;97.07;0.33;129.59
2021-04-19;42.04;PET PEAD;143.36;0.32;189.71
2021-04-19;35.29;óleo;98.46;0.36;133.85
2021-04-19;20.05;bloco;215.14;0.3;279.98
2021-04-19;27.39;cobre;1655.45;0.36;2247.2
2021-04-19;19.94;ferro;31.9;0.43;45.57
2021-04-20;14.29;cobre;859.4;0.35;1160.15
2021-04-20;26.82;bateria;175.94;0.4;245.57
2021-04-20;12.02;arquivo;13.34;0.4;18.64
2021-04-20;11.04;alto impacto;14.57;0.39;20.32
2021-04-20;26.0;alto impacto;35.1;0.34;47.19
2021-04-20;28.93;aço;205.4;0.4;286.79
2021-04-20;14.51;ferro;22.78;0.36;31.06
2021-04-20;2.28;aluminio;22.21;0.4;31.12
2021-04-20;24.7;PVC vidro;2601.9;0.43;3724.6
2021-04-20;12.26;vidro;17.04;0.38;23.59
2021-04-20;3.46;vidro;4.6;0.37;6.29
2021-04-20;23.04;arquivo;24.42;0.34;32.72
2021-04-20;31.37;chumbo;317.78;0.33;424.08
2021-04-21;16.66;ferro;26.82;0.42;38.16
2021-04-21;0.13;alto impacto;0.17;0.37;0.23
2021-04-21;30.24;alto impacto;40.52;0.37;55.63
2021-04-21;26.12;bloco;283.66;0.4;397.07
2021-04-21;0.38;PVC vidro;39.56;0.38;54.43
2021-04-21;4.53;chumbo;47.02;0.35;63.33
2021-04-21;40.82;PP COLORIDO;82.46;0.43;118.07
2021-04-21;7.2;PP COLORIDO;14.11;0.34;18.9
2021-04-21;18.39;PP PRETO;31.45;0.37;42.95
2021-04-21;47.0;aluminio;446.03;0.43;637.73
2021-04-21;8.19;papelão;8.85;0.33;11.8
2021-04-21;46.57;papelão;50.3;0.38;69.63
2021-04-21;17.64;aço;126.48;0.36;171.43
2021-04-21;1.31;placa eletronica;71.0;0.35;95.67
2021-04-21;37.66;alto impacto;49.33;0.41;69.46
2021-04-21;40.41;bateria;279.23;0.3;364.09
2021-04-21;35.24;aço;253.02;0.43;361.39
2021-04-21;25.17;PVC vidro;2696.21;0.35;3628.44
2021-04-21;43.25;arquivo;47.14;0.39;65.42
2021-04-21;27.51;PET PEAD;89.68;0.32;118.74
2021-04-21;48.52;PET PEAD;161.57;0.43;231.77
2021-04-22;6.25;PP COLORIDO;12.75;0.41;17.94
2021-04-22;41.28;PET PEAD;142.83;0.43;204.85
2021-04-22;1.33;vidro;1.73;0.39;2.41
2021-04-22;29.15;bloco;302.58;0.41;426.91
2021-04-23;34.19;PP CRISTAL;131.97;0.33;175.83
2021-04-23;21.66;cobre;1256.71;0.42;1780.19
2021-04-23;6.57;PET PEAD;21.75;0.38;29.94
2021-04-23;41.3;PP CRISTAL;160.66;0.36;219.01
2021-04-23;1.24;PP PRETO;2.24;0.35;3.01
2021-04-23;45.21;PP BRANCO;141.06;0.37;192.62
2021-04-23;31.96;latinha;355.08;0.43;506.87
2021-04-23;28.86;PET PEAD;99.28;0.3;129.42
2021-04-23;46.79;PP BRANCO;146.45;0.4;204.48
2021-04-23;28.65;bateria;188.23;0.3;244.92
2021-04-23;38.29;placa eletronica;2122.41;0.37;2910.39
2021-04-23;28.95;bloco;314.98;0.35;425.91
2021-04-23;42.17;papelão;45.12;0.44;64.93
2021-04-23;39.57;PET PEAD;129.0;0.38;177.44
2021-04-23;25.72;aluminio;244.34;0.42;347.41
2021-04-23;7.51;PP PRETO;13.22;0.38;18.24
2021-04-23;26.69;papelão;28.56;0.31;37.31
2021-04-23;41.3;vidro;56.17;0.34;75.1
2021-04-24;35.61;placa eletronica;1857.77;0.45;2688.48
2021-04-24;1.15;placa eletronica;64.25;0.37;87.81
2021-04-24;28.86;ferro;47.91;0.38;66.05
2021-04-24;26.35;chumbo;266.4;0.37;365.53
2021-04-24;20.0;papelão;22.4;0.4;31.44
2021-04-24;14.99;PET PEAD;49.17;0.43;70.17
2021-04-25;30.25;PVC vidro;3278.8;0.42;4664.37
2021-04-25;28.0;ferro;44.52;0.36;60.72
2021-04-25;32.73;cobre;1993.91;0.43;2854.63
2021-04-25;4.35;aço;31.15;0.31;40.72
2021-04-25;48.58;PVC vidro;5278.7;0.3;6863.28
2021-04-26;48.57;latinha;553.7;0.35;749.83
2021-04-26;9.02;óleo;24.35;0.38;33.62
2021-04-26;43.42;PP PRETO;78.16;0.32;103.52
2021-04-26;40.56;cobre;2430.36;0.41;3427.04
2021-04-26;16.17;chumbo;165.26;0.36;224.92
2021-04-26;42.66;arquivo;46.93;0.44;67.47
2021-04-26;29.64;PP COLORIDO;61.65;0.37;84.35
2021-04-26;42.29;vidro;58.78;0.3;76.55
2021-04-26;36.06;latinha;400.27;0.37;547.34
2021-04-26;48.19;PET PEAD;158.55;0.31;208.26
2021-04-26;49.94;PVC vidro;5545.84;0.34;7441.34
2021-04-26;39.18;latinha;457.62;0.34;612.71
2021-04-26;37.7;PP BRANCO;110.46;0.3;143.78
2021-04-26;38.89;vidro;52.5;0.34;70.17
2021-04-26;42.64;PVC vidro;4643.92;0.39;6455.25
2021-04-26;5.27;aluminio;49.12;0.4;68.54
2021-04-26;30.36;PVC vidro;3270.68;0.36;4438.25
2021-04-26;19.33;aluminio;176.68;0.34;237.52
2021-04-26;41.38;alto impacto;56.69;0.35;76.79
2021-04-26;42.9;PVC vidro;4498.49;0.44;6476.1
2021-04-26;20.43;PVC vidro;2152.91;0.43;3085.06
2021-04-26;15.85;PP CRISTAL;60.07;0.35;80.83
2021-04-26;12.89;arquivo;13.79;0.33;18.28
2021-04-26;34.93;PP BRANCO;103.74;0.33;138.26
2021-04-27;10.45;PP BRANCO;32.81;0.37;44.99
2021-04-27;0.5;alto impacto;0.65;0.37;0.89
2021-04-27;11.7;vidro;15.91;0.33;21.13
2021-04-27;24.82;arquivo;26.56;0.38;36.6
2021-04-27;23.57;bateria;157.68;0.34;211.9
2021-04-27;48.38;alto impacto;63.38;0.36;86.22
2021-04-27;24.13;placa eletronica;1308.81;0.38;1812.39
2021-04-27;31.12;PP COLORIDO;61.93;0.43;88.86
2021-04-27;21.42;chumbo;218.06;0.32;286.83
2021-04-27;20.66;vidro;28.51;0.44;41.04
2021-04-27;26.79;latinha;305.14;0.33;405.18
2021-04-27;40.97;óleo;109.8;0.31;143.79
2021-04-27;7.3;PP BRANCO;21.68;0.32;28.52
2021-04-27;24.89;óleo;69.44;0.34;92.86
2021-04-27;45.94;chumbo;473.64;0.44;683.71
2021-04-27;5.88;ferro;9.58;0.32;12.65
2021-04-27;3.39;chumbo;34.27;0.38;47.36
2021-04-27;11.8;papelão;12.74;0.3;16.6
2021-04-27;25.6;arquivo;28.42;0.31;37.36
2021-04-27;34.35;aço;256.59;0.38;353.34
2021-04-27;0.23;papelão;0.25;0.35;0.34
2021-04-27;40.4;latinha;441.57;0.37;605.28
2021-04-27;27.39;vidro;36.98;0.3;48.18
2021-04-27;21.27;papelão;23.4;0.4;32.72
2021-04-27;35.37;PP CRISTAL;135.11;0.41;190.36
2021-04-27;44.21;óleo;120.69;0.44;173.52
2021-04-27;35.44;bloco;379.92;0.36;517.86
2021-04-27;40.48;chumbo;419.78;0.3;546.97
2021-04-28;43.14;placa eletronica;2381.33;0.4;3338.96
2021-04-28;15.04;cobre;867.66;0.32;1145.53
2021-04-28;36.32;PP BRANCO;110.78;0.32;146.53
2021-04-28;40.43;arquivo;45.28;0.32;59.62
2021-04-28;24.12;PET PEAD;83.94;0.4;117.93
2021-04-28;8.32;PP BRANCO;25.63;0.43;36.6
2021-04-28;2.54;latinha;28.07;0.3;36.58
2021-04-28;17.79;cobre;1098.35;0.44;1582.2
2021-04-28;24.27;vidro;33.74;0.43;48.3
2021-04-28;38.7;aço;272.84;0.44;392.33
2021-04-28;29.85;PP BRANCO;88.36;0.35;119.27
2021-04-28;48.95;latinha;547.75;0.36;743.34
2021-04-28;9.27;óleo;25.31;0.34;33.84
2021-04-28;19.31;PP CRISTAL;76.47;0.3;99.46
2021-04-28;18.63;bloco;200.65;0.45;290.31
2021-04-28;46.56;PP COLORIDO;96.84;0.38;133.46
2021-04-28;6.48;PVC vidro;705.28;0.31;926.47
2021-04-28;23.67;aluminio;222.73;0.41;314.74
2021-04-28;18.45;óleo;50.92;0.36;69.26
2021-04-28;31.31;aço;229.5;0.44;330.59
2021-04-28;3.2;PP COLORIDO;6.3;0.38;8.69
2021-04-28;25.72;PVC vidro;2753.84;0.35;3726.97
2021-04-29;19.97;vidro;26.56;0.36;36.12
2021-04-29;23.34;vidro;31.98;0.37;43.94
2021-04-29;5.85;latinha;68.27;0.44;98.38
2021-04-29;3.19;ferro;5.04;0.34;6.77
2021-04-29;6.29;cobre;364.88;0.45;528.18
2021-04-29;8.79;cobre;542.52;0.42;769.34
2021-04-29;25.26;PP CRISTAL;98.51;0.39;136.86
2021-04-29;1.57;PP BRANCO;4.62;0.32;6.09
2021-04-29;21.03;PP BRANCO;65.19;0.33;86.61
2021-04-29;47.03;latinha;519.68;0.42;738.35
2021-04-29;1.02;cobre;60.13;0.37;82.16
2021-04-29;9.82;PP CRISTAL;38.1;0.43;54.53
2021-04-29;14.05;PP PRETO;23.89;0.41;33.64
2021-04-29;42.42;placa eletronica;2254.62;0.35;3043.93
2021-04-29;8.73;aluminio;80.67;0.34;108.22
2021-04-29;34.11;aço;243.55;0.42;344.94
2021-04-29;2.3;aço;16.81;0.4;23.46
2021-04-30;8.36;bateria;56.18;0.43;80.6
2021-04-30;23.0;arquivo;24.15;0.42;34.17
2021-04-30;18.66;ferro;30.04;0.43;43.05
2021-04-30;39.57;PP CRISTAL;160.26;0.43;228.57
2021-04-30;24.4;alto impacto;33.43;0.34;44.7
2021-04-30;36.49;aluminio;333.15;0.37;457.2
2021-04-30;25.54;alto impacto;35.5;0.38;48.95
2021-04-30;42.04;vidro;58.44;0.41;82.38
2021-04-30;1.29;ferro;2.17;0.33;2.89
2021-04-30;48.9;cobre;2914.44;0.44;4185.03
2021-04-30;16.44;PP BRANCO;49.98;0.38;69.11
2021-04-30;19.77;chumbo;194.73;0.4;272.59
2021-04-30;0.47;óleo;1.24;0.44;1.79
2021-04-30;42.86;PP PRETO;75.0;0.45;108.46
2021-04-30;45.94;alto impacto;61.56;0.33;81.66
2021-04-30;36.44;PVC vidro;4051.4;0.37;5563.72
2021-04-30;9.05;PVC vidro;982.74;0.36;1333.32
2021-04-30;35.99;bloco;382.21;0.4;535.56
2021-04-30;3.68;ferro;6.0;0.37;8.24
2021-04-30;43.52;PP BRANCO;131.87;0.44;190.34
2021-04-30;25.56;PP CRISTAL;100.96;0.37;138.31
2021-04-30;9.37;latinha;108.22;0.39;150.15
2021-04-30;46.31;PP PRETO;80.58;0.33;107.16
2021-04-30;5.36;chumbo;54.62;0.37;74.7
2021-04-30;45.25;PP COLORIDO;90.95;0.32;120.17
2021-04-30;37.91;bloco;398.05;0.32;526.5
2021-04-30;0.59;aço;4.44;0.32;5.86
2021-04-30;9.41;PP PRETO;16.19;0.38;22.28
2021-04-30;44.96;aluminio;418.58;0.34;562.07
2021-04-30;49.78;aço;369.87;0.32;488.8
2021-05-01;39.6;PP CRISTAL;150.08;0.39;209.2
2021-05-01;10.45;latinha;114.85;0.31;150.36
2021-05-01;27.22;bateria;178.29;0.43;254.52
2021-05-01;39.06;aluminio;379.27;0.37;519.96
2021-05-01;5.89;PP CRISTAL;22.32;0.36;30.38
2021-05-01;33.34;ferro;55.68;0.33;74.28
2021-05-01;27.63;óleo;72.94;0.43;103.96
2021-05-01;32.99;ferro;52.12;0.31;68.23
2021-05-01;45.23;vidro;58.8;0.35;79.33
2021-05-01;47.23;PVC vidro;5136.26;0.43;7353.41
2021-05-02;18.93;alto impacto;24.8;0.43;35.47
2021-05-02;36.41;óleo;95.76;0.31;125.02
2021-05-02;13.04;chumbo;133.27;0.37;181.93
2021-05-02;46.86;PET PEAD;164.01;0.4;229.43
2021-05-02;29.37;óleo;80.18;0.36;108.69
2021-05-03;32.63;placa eletronica;1794.0;0.33;2393.79
2021-05-03;41.34;chumbo;405.13;0.37;555.88
2021-05-03;14.57;ferro;22.87;0.31;29.89
2021-05-03;33.16;PP BRANCO;101.8;0.41;143.4
2021-05-03;5.53;chumbo;54.91;0.35;73.99
2021-05-03;45.29;alto impacto;61.14;0.33;81.44
2021-05-04;20.55;aluminio;197.9;0.35;267.81
2021-05-04;27.84;aluminio;266.99;0.35;360.42
2021-05-04;29.19;bateria;196.16;0.45;283.78
2021-05-04;41.67;vidro;56.67;0.43;80.9
2021-05-04;41.41;PP CRISTAL;157.77;0.4;221.18
2021-05-04;14.34;arquivo;15.77;0.45;22.86
2021-05-04;39.03;PET PEAD;131.14;0.45;190.04
2021-05-04;4.15;aço;30.79;0.33;41.07
2021-05-04;45.28;cobre;2763.89;0.39;3839.48
2021-05-04;18.38;PVC vidro;2039.26;0.4;2851.86
2021-05-04;22.63;aço;164.07;0.34;219.92
2021-05-04;32.67;bloco;346.3;0.41;489.02
2021-05-04;3.27;aluminio;30.87;0.42;43.7
2021-05-04;18.45;PP CRISTAL;72.69;0.41;102.31
2021-05-04;37.18;PVC vidro;3994.99;0.44;5738.73
2021-05-04;0.33;bloco;3.55;0.41;5.0
2021-05-04;26.41;arquivo;28.79;0.43;41.28
2021-05-04;26.45;óleo;71.68;0.43;102.52
2021-05-04;43.52;PP PRETO;78.77;0.38;108.94
2021-05-04;7.35;cobre;443.35;0.32;586.84
2021-05-04;27.07;papelão;29.78;0.38;41.08
2021-05-04;15.8;alto impacto;20.86;0.45;30.23
2021-05-04;35.19;cobre;2152.22;0.41;3043.39
2021-05-04;24.83;ferro;39.48;0.45;57.2
2021-05-04;41.03;alto impacto;56.21;0.37;77.13
2021-05-05;1.0;chumbo;10.04;0.42;14.22
2021-05-05;35.08;aluminio;322.74;0.42;458.64
2021-05-05;23.82;aço;167.45;0.4;234.63
2021-05-05;44.6;placa eletronica;2333.92;0.35;3159.47
2021-05-05;33.59;aço;245.88;0.42;349.13
2021-05-05;42.01;chumbo;412.54;0.42;586.29
2021-05-05;35.83;bateria;235.76;0.38;324.89
2021-05-05;13.33;óleo;35.19;0.38;48.57
2021-05-05;10.97;PP CRISTAL;42.56;0.36;57.71
2021-05-05;48.84;aluminio;466.42;0.35;631.17
2021-05-05;37.94;chumbo;376.74;0.37;514.34
2021-05-05;43.69;aço;320.68;0.36;435.02
2021-05-05;34.12;PP BRANCO;101.68;0.37;139.16
2021-05-05;5.9;vidro;8.14;0.4;11.39
2021-05-05;1.92;aço;13.65;0.42;19.4
2021-05-05;30.96;vidro;40.87;0.31;53.73
2021-05-05;36.4;papelão;38.58;0.38;53.05
2021-05-05;17.87;PVC vidro;1928.71;0.4;2691.63
2021-05-05;19.63;PP BRANCO;60.26;0.32;79.59
2021-05-05;34.18;PP COLORIDO;66.99;0.43;95.97
2021-05-05;4.05;arquivo;4.37;0.32;5.78
2021-05-05;29.88;chumbo;296.11;0.35;398.35
2021-05-05;39.74;latinha;462.57;0.44;668.24
2021-05-05;14.57;cobre;868.23;0.34;1166.12
2021-05-05;36.0;chumbo;351.36;0.43;502.01
2021-05-05;43.06;PP PRETO;76.65;0.36;103.9
2021-05-05;22.8;PP PRETO;38.99;0.44;56.15
2021-05-05;16.7;aço;120.74;0.42;171.09
2021-05-06;6.08;PET PEAD;20.98;0.38;28.88
2021-05-06;23.55;papelão;25.91;0.35;34.94
2021-05-07;12.04;PP PRETO;21.19;0.44;30.48
2021-05-07;40.7;vidro;56.57;0.45;82.01
2021-05-07;22.45;PVC vidro;2491.28;0.34;3327.2
2021-05-07;24.89;PET PEAD;85.62;0.34;114.86
2021-05-07;36.97;aço;269.51;0.37;368.05
2021-05-07;30.78;cobre;1858.8;0.36;2526.13
2021-05-07;6.24;PP CRISTAL;23.71;0.36;32.31
2021-05-07;4.58;arquivo;4.9;0.38;6.78
2021-05-07;16.45;PP PRETO;29.45;0.34;39.35
2021-05-08;9.17;alto impacto;12.84;0.33;17.03
2021-05-08;48.72;arquivo;52.13;0.35;70.4
2021-05-08;39.23;ferro;63.55;0.34;85.14
2021-05-08;16.49;aço;120.21;0.36;163.0
2021-05-08;29.27;PP COLORIDO;58.54;0.44;84.02
2021-05-08;25.16;vidro;34.97;0.31;45.66
2021-05-08;18.4;PP CRISTAL;72.5;0.3;94.55
2021-05-08;12.07;arquivo;13.52;0.4;18.91
2021-05-08;39.24;bateria;262.12;0.36;357.58
2021-05-08;37.9;PP CRISTAL;152.36;0.37;209.03
2021-05-08;13.87;PP PRETO;24.41;0.44;35.12
2021-05-08;49.47;arquivo;53.92;0.44;77.68
2021-05-08;23.71;aluminio;226.9;0.45;328.28
2021-05-08;4.07;aluminio;37.48;0.39;52.15
2021-05-08;37.08;alto impacto;48.95;0.36;66.66
2021-05-08;10.58;óleo;29.2;0.33;38.86
2021-05-08;8.64;papelão;9.16;0.34;12.27
2021-05-08;34.1;vidro;44.33;0.35;59.88
2021-05-08;0.62;PVC vidro;66.77;0.39;92.91
2021-05-08;5.94;chumbo;61.89;0.36;84.1
2021-05-08;42.85;aluminio;413.93;0.41;582.15
2021-05-08;23.38;PP COLORIDO;46.29;0.45;67.1
2021-05-08;17.76;cobre;1027.59;0.39;1429.73
2021-05-08;19.02;chumbo;185.64;0.32;245.68
2021-05-09;23.18;papelão;24.8;0.39;34.41
2021-05-09;3.76;bloco;39.74;0.39;55.37
2021-05-09;13.45;PVC vidro;1453.81;0.35;1959.01
2021-05-09;34.64;ferro;56.12;0.43;80.4
2021-05-09;39.23;arquivo;42.37;0.35;57.19
2021-05-09;4.37;PP PRETO;7.6;0.37;10.43
2021-05-09;2.0;cobre;120.76;0.3;157.46
2021-05-09;40.23;óleo;109.43;0.44;157.84
2021-05-09;47.14;PP CRISTAL;190.45;0.31;250.34
2021-05-09;16.04;chumbo;163.13;0.37;223.48
2021-05-09;27.89;ferro;44.62;0.38;61.62
2021-05-09;42.1;PP PRETO;73.67;0.4;102.99
2021-05-09;46.1;PET PEAD;157.2;0.31;205.57
2021-05-09;5.44;placa eletronica;299.58;0.35;405.38
2021-05-09;42.3;arquivo;45.26;0.37;61.93
2021-05-09;18.09;chumbo;182.17;0.33;241.71
2021-05-09;34.74;placa eletronica;1831.15;0.33;2435.04
2021-05-09;4.99;chumbo;48.65;0.32;64.06
2021-05-09;48.5;PP CRISTAL;192.55;0.44;276.63
2021-05-09;42.84;PP CRISTAL;164.08;0.31;215.18
2021-05-09;0.35;papelão;0.39;0.34;0.52
2021-05-10;44.49;bateria;294.97;0.38;408.48
2021-05-10;29.68;PVC vidro;3100.08;0.45;4482.23
2021-05-10;4.16;vidro;5.7;0.38;7.85
2021-05-10;33.01;placa eletronica;1792.44;0.36;2445.41
2021-05-10;7.4;vidro;9.99;0.43;14.29
2021-05-11;32.92;PVC vidro;3636.01;0.35;4905.47
2021-05-11;3.99;PP COLORIDO;8.22;0.3;10.69
2021-05-11;40.51;latinha;463.43;0.35;623.81
2021-05-11;38.8;aluminio;353.47;0.32;465.54
2021-05-11;40.78;óleo;111.74;0.3;145.81
2021-05-11;19.97;bateria;138.99;0.32;184.01
2021-05-11;39.3;arquivo;41.66;0.42;59.01
2021-05-11;23.25;bloco;245.75;0.35;330.7
2021-05-11;45.87;latinha;525.21;0.32;693.56
2021-05-11;8.27;aço;59.87;0.32;79.05
2021-05-11;20.11;chumbo;205.12;0.38;283.35
2021-05-11;6.49;chumbo;65.68;0.37;89.74
2021-05-11;36.31;PP BRANCO;107.11;0.41;150.78
2021-05-11;7.28;aço;52.56;0.4;73.62
2021-05-11;23.26;latinha;272.37;0.31;355.83
2021-05-11;26.7;PET PEAD;90.51;0.38;125.34
2021-05-11;16.32;latinha;185.88;0.39;257.55
2021-05-11;14.75;latinha;168.89;0.33;224.0
2021-05-11;22.91;PET PEAD;76.52;0.42;108.32
2021-05-11;34.08;chumbo;343.19;0.38;472.24
2021-05-11;45.23;chumbo;453.66;0.45;655.81
2021-05-11;16.47;PET PEAD;56.82;0.4;79.5
2021-05-11;24.68;cobre;1488.45;0.43;2129.38
2021-05-11;31.13;óleo;86.54;0.36;117.56
2021-05-11;34.55;aço;243.58;0.33;323.76
2021-05-11;20.13;PP PRETO;36.03;0.41;50.8
2021-05-11;17.43;papelão;19.0;0.42;26.94
2021-05-11;42.83;PP BRANCO;127.63;0.36;173.09
2021-05-12;31.5;PP BRANCO;96.07;0.39;133.83
2021-05-12;37.31;PP COLORIDO;77.98;0.4;109.13
2021-05-12;49.5;PP COLORIDO;100.98;0.41;142.88
2021-05-12;20.39;placa eletronica;1072.11;0.39;1492.75
2021-05-12;13.04;PP BRANCO;39.38;0.42;55.99
2021-05-12;22.58;aço;160.09;0.43;229.31
2021-05-12;35.57;aluminio;325.82;0.37;445.3
2021-05-12;16.12;papelão;16.93;0.45;24.48
2021-05-12;47.78;PP COLORIDO;96.04;0.41;135.3
2021-05-12;46.01;chumbo;481.72;0.34;646.84
2021-05-12;45.29;papelão;49.37;0.36;67.19
2021-05-12;22.1;PVC vidro;2453.32;0.43;3505.41
2021-05-12;41.28;bateria;269.15;0.31;352.8
2021-05-13;13.63;aluminio;132.76;0.38;183.06
2021-05-13;12.21;chumbo;127.96;0.35;172.26
2021-05-13;25.27;bloco;260.53;0.44;374.92
2021-05-13;37.16;vidro;51.28;0.42;72.59
2021-05-13;25.62;PP CRISTAL;98.64;0.36;133.74
2021-05-13;0.59;PP COLORIDO;1.17;0.43;1.67
2021-05-13;47.84;alto impacto;65.54;0.31;85.71
2021-05-13;7.76;aço;57.04;0.34;76.39
2021-05-13;45.29;PET PEAD;149.0;0.34;199.73
2021-05-13;21.83;aço;163.72;0.36;222.77
2021-05-13;7.29;aluminio;69.91;0.41;98.45
2021-05-13;0.47;aluminio;4.46;0.44;6.43
2021-05-13;28.35;PP CRISTAL;110.28;0.43;157.25
2021-05-14;19.39;óleo;52.55;0.33;69.83
2021-05-14;45.33;latinha;495.91;0.44;716.11
2021-05-14;17.86;papelão;18.57;0.37;25.45
2021-05-14;16.7;PP CRISTAL;62.96;0.31;82.28
2021-05-14;32.18;vidro;44.09;0.36;60.08
2021-05-14;45.47;PVC vidro;5023.07;0.43;7158.16
2021-05-14;30.1;latinha;339.53;0.43;484.04
2021-05-14;4.61;vidro;6.18;0.33;8.22
2021-05-14;42.1;arquivo;47.15;0.44;67.88
2021-05-14;45.91;bloco;503.17;0.38;693.14
2021-05-14;13.09;óleo;36.26;0.33;48.37
2021-05-14;1.21;latinha;14.23;0.36;19.35
2021-05-14;36.16;PVC vidro;3789.21;0.32;4992.25
2021-05-14;20.03;papelão;21.03;0.39;29.28
2021-05-14;23.15;aço;167.61;0.37;229.43
2021-05-14;20.51;latinha;234.84;0.39;326.74
2021-05-14;34.76;PP COLORIDO;68.13;0.34;91.01
2021-05-14;40.14;aço;285.8;0.43;409.43
2021-05-15;30.57;vidro;40.05;0.45;57.88
2021-05-15;8.18;PET PEAD;26.59;0.36;36.14
2021-05-15;33.75;cobre;2003.06;0.4;2797.61
2021-05-15;19.18;arquivo;20.91;0.4;29.28
2021-05-15;48.5;bateria;327.38;0.33;435.37
2021-05-15;28.42;vidro;39.22;0.32;51.67
2021-05-15;27.48;aluminio;267.38;0.36;364.24
2021-05-15;25.93;PET PEAD;86.61;0.44;125.09
2021-05-15;16.12;ferro;26.6;0.44;38.27
2021-05-15;17.01;PP PRETO;29.6;0.42;42.14
2021-05-15;29.22;alto impacto;40.62;0.4;56.93
2021-05-15;40.23;bateria;262.3;0.39;364.04
2021-05-15;14.09;bloco;147.94;0.32;194.78
2021-05-15;11.73;óleo;31.08;0.44;44.89
2021-05-15;12.0;placa eletronica;664.44;0.36;904.71
2021-05-16;16.22;chumbo;164.31;0.44;236.25
2021-05-17;11.02;latinha;125.74;0.31;164.84
2021-05-17;10.27;arquivo;11.3;0.38;15.65
2021-05-17;13.42;aço;97.97;0.35;131.77
2021-05-17;25.98;óleo;68.33;0.39;94.84
2021-05-17;32.05;bloco;353.51;0.44;509.97
2021-05-17;23.76;cobre;1430.83;0.41;2019.32
2021-05-17;48.42;cobre;2787.54;0.39;3875.2
2021-05-17;16.09;vidro;22.2;0.42;31.53
2021-05-17;22.91;alto impacto;30.7;0.39;42.77
2021-05-17;32.22;PP BRANCO;99.24;0.4;138.65
2021-05-17;6.9;ferro;11.04;0.32;14.58
2021-05-17;10.12;PVC vidro;1076.36;0.37;1473.85
2021-05-17;10.73;bloco;117.06;0.42;166.66
2021-05-17;36.03;alto impacto;47.56;0.38;65.58
2021-05-17;37.7;ferro;60.32;0.35;81.53
2021-05-17;17.59;bloco;183.46;0.37;251.68
2021-05-17;44.95;bloco;480.52;0.42;683.03
2021-05-17;23.53;papelão;26.12;0.43;37.41
2021-05-17;11.83;bateria;77.6;0.41;109.16
